              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE
          VINATIORGA,        9.95,       12.48
                 DPL,        9.89,       20.57
              PRAENG,        9.89,       36.36
               CROWN,        9.86,      -20.62
                ASAL,        9.70,       16.25
          ZENITHEXPO,        9.68,        6.58
            ANANTRAJ,        9.67,       32.02
                 KEI,        9.54,       21.68
           REDINGTON,        9.52,       18.88
               EMKAY,        9.48,       27.69
          ZODIACLOTH,        9.44,       28.78
          PDUMJEPULP,        9.39,       17.38
          GSCLCEMENT,        9.38,       22.98
                 FCL,        9.34,       12.85
          KESORAMIND,        9.33,       12.36
            AHLUCONT,        9.26,       13.52
           MAWANASUG,        9.26,        0.90
          BINDALAGRO,        9.22,       16.60
               WENDT,        9.22,       19.36
                 ITI,        9.16,       28.38
           KOTARISUG,        9.12,        9.93
            GMRINFRA,        9.01,        7.34
            GRANULES,        8.99,        9.75
          LAKSHVILAS,        8.98,       13.88
          VLSFINANCE,        8.93,        8.66
          MANGCHEFER,        8.81,       37.99
            VALUEIND,        8.76,       14.23
          COROMANDEL,        8.75,       15.96
          SHREYANIND,        8.73,       46.58
               SUVEN,        8.69,       14.24
            FAIRCHEM,        8.55,       -3.61
              AMDIND,        8.52,       19.68
                CESC,        8.46,        9.44
              GESHIP,        8.44,       22.52
          NBVENTURES,        8.44,       27.06
            INOXWIND,        8.40,       17.94
              TCIEXP,        8.35,        3.56
            PRESTIGE,        8.34,       27.41
            PNCINFRA,        8.32,       32.72
          MUTHOOTCAP,        8.31,       58.66
          AUTOLITIND,        8.27,       11.99
           MANGLMCEM,        8.23,       22.60
          PARRYSUGAR,        8.21,        3.30
             VICEROY,        8.13,       17.40
                 WSI,        8.13,       10.19
          BALRAMCHIN,        8.11,       11.91
                LSIL,        8.11,       17.65
              TECHIN,        8.11,       44.58
           MAHASTEEL,        8.05,      -10.24
            ARROWTEX,        8.00,       16.33
               NOCIL,        7.96,       26.86
             AUTOIND,        7.93,        8.12
                 FSL,        7.90,        3.68
              ALLSEC,        7.87,        0.84
            BANSWRAS,        7.85,       29.82
          JYOTISTRUC,        7.82,       17.68
           DALMIASUG,        7.71,        2.57
              CYIENT,        7.70,       10.34
           SUJANAUNI,        7.69,        7.69
           INDNIPPON,        7.66,       22.17
           XPROINDIA,        7.65,       13.03
            IDBIGOLD,        7.64,        9.84
             DHANUKA,        7.60,        8.81
           TASTYBITE,        7.60,       11.63
          JAGSNPHARM,        7.59,       28.68
                 DEN,        7.51,       21.61
           SANGINITA,        7.37,       52.27
          MUKANDENGG,        7.36,        3.23
            DWARKESH,        7.32,        7.44
             VIVIDHA,        7.32,       12.82
          SHARDACROP,        7.30,       12.57
                SDBL,        7.26,      -10.46
                 SFL,        7.21,       13.35
          ASTRAMICRO,        7.13,        8.22
          ATLASCYCLE,        7.09,       16.92
               ROLTA,        7.06,        6.88
                HFCL,        7.02,       24.51
           ELGIRUBCO,        6.99,        7.78
             ARIHANT,        6.93,       21.86
           GULFPETRO,        6.91,       12.95
                NET4,        6.90,        0.00
          PDMJEPAPER,        6.83,       33.72
              ALKALI,        6.76,        6.42
           STEELCITY,        6.71,        8.60
           DHARSUGAR,        6.62,        6.26
            MBLINFRA,        6.62,      -12.78
           RESPONIND,        6.62,       -7.74
              GVKPIL,        6.61,       10.26
          DEEPAKFERT,        6.59,       10.96
             AHLEAST,        6.56,       21.88
              RENUKA,        6.55,        4.39
          3IINFOTECH,        6.54,       21.28
               SATIN,        6.54,       -1.20
            ANIKINDS,        6.46,       23.96
             SOMATEX,        6.42,       22.57
          ORIENTALTL,        6.39,        5.60
           JAMNAAUTO,        6.38,       13.51
                 GAL,        6.36,       12.05
           SCHNEIDER,        6.30,       12.55
                 DLF,        6.29,       25.05
             MENONBE,        6.29,        6.22
                 BSL,        6.27,       15.20
              HIRECT,        6.24,       18.79
           SOUTHBANK,        6.22,       18.32
               WABAG,        6.17,       11.71
            MINDAIND,        6.16,        6.82
             EIHOTEL,        6.15,       21.86
          NATHBIOGEN,        6.15,       43.54
          SUNDRMBRAK,        6.15,       16.85
                GICL,        6.12,        4.84
          SUNCLAYLTD,        6.12,       27.08
          PHILIPCARB,        6.11,       28.43
             REVATHI,        6.10,       13.08
          OBEROIRLTY,        6.09,        4.07
            ALPHAGEO,        6.08,       11.65
                NBCC,        6.05,        9.75
            TERASOFT,        6.04,        3.98
                 SIL,        6.01,        6.01
                MMTC,        6.00,        6.09
          PARABDRUGS,        5.99,        1.72
           NOIDATOLL,        5.98,        5.53
           SUTLEJTEX,        5.98,       11.69
                 UPL,        5.95,        6.89
                GRUH,        5.91,        5.50
                JBMA,        5.90,        2.32
           COFFEEDAY,        5.85,        2.63
          HINDDORROL,        5.85,       13.61
               GOKUL,        5.84,       -5.78
             DCBBANK,        5.83,       11.02
            VASCONEQ,        5.83,       37.09
            EIDPARRY,        5.75,        7.60
          INDTERRAIN,        5.72,       13.98
             MAANALU,        5.71,        7.50
            BHANDARI,        5.66,        3.70
          TCIDEVELOP,        5.66,        7.38
           NILAINFRA,        5.62,        5.93
           APLAPOLLO,        5.57,       13.67
                 HCC,        5.57,        9.41
             RANASUG,        5.56,        3.47
            UCALFUEL,        5.52,       22.40
                 BEL,        5.49,       14.82
             RBLBANK,        5.49,       14.02
              KERNEX,        5.47,       46.66
            NILKAMAL,        5.47,       11.30
                KRBL,        5.46,        5.23
              HITECH,        5.45,       -0.19
            UNIENTER,        5.45,        9.43
              VRLLOG,        5.42,       17.83
           SPICEMOBI,        5.41,       19.93
           MINDACORP,        5.39,       31.78
               GIPCL,        5.38,       11.26
              GRASIM,        5.37,        3.47
          SANGHVIMOV,        5.37,        1.15
               EMMBI,        5.35,       23.84
              JKTYRE,        5.33,       13.48
