              SYMBOL,  5_DAY_MOVE, 20_DAY_MOVE          CYBERMEDIA,        9.94,       11.24
            MARATHON,        9.93,       23.62
                MRPL,        9.93,       24.87
                VETO,        9.93,       14.88
          VALECHAENG,        9.89,      -27.43
           SPMLINFRA,        9.87,       60.71
            DBREALTY,        9.76,       26.33
                 KEI,        9.73,       23.11
          GILLANDERS,        9.71,       27.24
            HEXAWARE,        9.66,       -0.27
            AHLUCONT,        9.62,       14.70
              TCIEXP,        9.60,       13.46
          SWANENERGY,        9.54,        5.50
                 PEL,        9.50,       31.47
          VLSFINANCE,        9.50,       14.25
            VASCONEQ,        9.49,       41.36
            KARMAENG,        9.44,       18.71
            SREINFRA,        9.43,        5.23
                CERA,        9.39,       15.28
          THANGAMAYL,        9.37,       20.54
          JMFINANCIL,        9.36,       35.84
          BHARATFORG,        9.32,       11.57
              GRETEX,        9.22,      -18.16
              ALKALI,        9.21,       11.62
           BLUECOAST,        9.19,        4.13
           SANGHIIND,        9.16,        5.58
          ZODIACLOTH,        9.13,       24.75
              SAMTEL,        9.09,       20.00
          SUPREMETEX,        9.09,       15.07
           BOMDYEING,        9.07,       10.20
                BANG,        9.02,       15.82
             AUTOIND,        9.00,        6.03
          MONNETISPA,        8.99,       18.14
            BEDMUTHA,        8.81,       28.87
                 PVP,        8.77,       33.33
            RTNINFRA,        8.75,       33.85
          TALWALKARS,        8.75,       16.33
           INDLMETER,        8.74,       33.80
                 FCL,        8.73,       14.03
             STRTECH,        8.72,       19.39
            DHANBANK,        8.71,       35.79
               WENDT,        8.67,       18.46
                NDGL,        8.66,        6.23
             JKPAPER,        8.64,       16.09
             FRETAIL,        8.61,       24.85
             AHLEAST,        8.58,       30.58
           CINEVISTA,        8.57,       16.92
          RAJSREESUG,        8.57,        5.39
           NHBTF2014,        8.56,        7.53
           20MICRONS,        8.55,       33.71
           DALMIASUG,        8.55,        4.44
          KESORAMIND,        8.50,       17.78
                SPIC,        8.49,       29.79
          BANCOINDIA,        8.48,       10.77
                HSCL,        8.45,       23.84
          INDTERRAIN,        8.45,       13.76
                HFCL,        8.42,       26.27
           GUJALKALI,        8.39,       15.87
                 FSL,        8.38,        5.86
          TORNTPOWER,        8.38,        7.15
          ANTGRAPHIC,        8.33,        0.00
           JINDWORLD,        8.33,       56.68
          GSCLCEMENT,        8.31,       27.68
                 KCP,        8.30,       33.97
              ALLSEC,        8.29,        3.59
          PHILIPCARB,        8.29,       29.99
             DHANUKA,        8.26,       10.35
             TRIVENI,        8.25,       18.47
               SETCO,        8.24,       29.99
             VIJSHAN,        8.21,       21.34
          VSTTILLERS,        8.18,        9.68
          GODREJPROP,        8.11,       18.43
            MINDAIND,        8.08,        9.56
                MMTC,        8.08,        7.49
           MAYURUNIQ,        8.06,       16.60
                 TRF,        8.02,       11.39
            CINELINE,        8.01,       13.32
             LOVABLE,        8.01,       11.70
               ARIES,        8.00,       10.54
          VIPCLOTHNG,        8.00,       10.50
          NATHBIOGEN,        7.99,       43.65
           JKLAKSHMI,        7.97,       12.45
                FACT,        7.96,       26.52
           SWARAJENG,        7.92,       14.57
               PIIND,        7.91,        4.32
          OBEROIRLTY,        7.90,        6.32
           GEOJITFSL,        7.88,       33.58
           MINDACORP,        7.88,       32.24
                ASAL,        7.84,       16.03
          JISLDVREQS,        7.81,       11.45
          TPLPLASTEH,        7.77,       12.16
                NBCC,        7.76,       11.45
              FORTIS,        7.75,       19.14
          KIRLOSBROS,        7.75,       16.75
                 ACC,        7.65,       15.08
          INSECTICID,        7.65,       14.54
          ENGINERSIN,        7.63,       17.04
            DWARKESH,        7.60,        7.30
          PLASTIBLEN,        7.59,        8.90
            RTNPOWER,        7.56,       21.71
          SUNCLAYLTD,        7.56,       26.96
          VIJAYABANK,        7.55,       16.42
            ARROWTEX,        7.54,       11.56
            TERASOFT,        7.52,        6.98
          BHARATGEAR,        7.51,       14.62
                 NCC,        7.50,       20.39
          SOMANYCERA,        7.47,        9.16
             JPPOWER,        7.45,       -2.88
          TVSSRICHAK,        7.45,        2.48
                 TBZ,        7.44,       19.65
           SCHNEIDER,        7.43,       10.57
                 PNC,        7.42,       16.04
            LYKALABS,        7.41,       -2.13
           APLAPOLLO,        7.40,       12.10
                BRFL,        7.40,        1.50
             NUCLEUS,        7.36,       11.54
           KOTARISUG,        7.35,        7.75
           SPICEMOBI,        7.35,       22.18
              RENUKA,        7.34,        5.14
           ASAHISONG,        7.29,       11.74
               ROLTA,        7.29,        7.20
               SUVEN,        7.26,       11.42
           XPROINDIA,        7.25,        9.18
                JBMA,        7.22,        1.02
          IL&FSTRANS,        7.20,       11.97
           MOSERBAER,        7.14,       -2.17
             KWALITY,        7.09,        2.29
          PNBHOUSING,        7.09,       22.63
               SATIN,        7.09,        1.09
             UCOBANK,        7.08,       11.54
              GESHIP,        7.07,       16.81
            INOXWIND,        7.07,       14.45
                HDIL,        7.06,       20.98
          LIBERTSHOE,        7.06,        7.19
                 EON,        7.02,       21.39
           SARLAPOLY,        7.00,        7.52
             RELIFIN,       67.85,       61.05
                 GNA,        6.99,       20.72
            FAIRCHEM,        6.98,       -4.14
            ASHOKLEY,        6.92,       -0.11
           BHARATFIN,        6.91,       -6.93
           DHARSUGAR,        6.88,        6.34
           GOACARBON,        6.85,       34.37
               RAJTV,        6.84,        6.04
            SRIPIPES,        6.80,        0.13
            NAHARCAP,        6.79,       10.00
            VENUSREM,        6.73,       12.29
            GRANULES,        6.69,        6.65
                NET4,        6.67,        6.67
          COSMOFILMS,        6.66,        8.73
          SORILINFRA,        6.65,       43.32
              KERNEX,        6.63,       46.57
           FCONSUMER,        6.57,       19.89
          GODFRYPHLP,        6.57,       -1.47
          VIVIMEDLAB,        6.55,       27.50
           RUCHISOYA,        6.50,       -3.68
           JAYAGROGN,        6.48,       19.08
            JUSTDIAL,        6.46,       -7.98
          APOLLOTYRE,        6.39,       15.41
            DECCANCE,        6.37,       16.06
           HINDUJAFO,        6.35,        1.18
            INFRATEL,        6.34,       15.42
             HUBTOWN,        6.33,       36.61
          MUTHOOTCAP,        6.32,       57.54
          SIMPLEXINF,        6.27,       26.27
             UNITECH,        6.25,        3.48
          NBVENTURES,        6.24,       23.75
                CESC,        6.23,       10.26
                SDBL,        6.21,       -7.00
          HERITGFOOD,        6.16,        8.09
               ELAND,        6.14,       10.84
           MANGLMCEM,        6.14,       25.06
           AARVEEDEN,        6.13,       -6.75
            LGBFORGE,        6.11,       -5.44
          COROMANDEL,        6.07,       15.80
              ITDCEM,        6.07,       15.09
           GULFPETRO,        6.04,       13.06
                ITDC,       58.92,       74.89
             TIJARIA,       54.17,       60.87
            ATNINTER,       50.00,        0.00
          CANFINHOME,        5.98,       21.97
            UCALFUEL,        5.96,       20.91
           AKZOINDIA,        5.95,       14.79
          UMANGDAIRY,        5.95,       15.84
          HEIDELBERG,        5.94,       14.63
            NILKAMAL,        5.94,       11.27
           MOLDTKPAC,        5.93,       12.30
            HDFCBANK,        5.92,        7.63
          JETAIRWAYS,        5.86,        3.77
              RPOWER,        5.86,        3.22
          ZENITHEXPO,        5.85,        1.40
           ORICONENT,        5.84,       19.73
                DHFL,        5.83,       15.43
          MANALIPETC,        5.82,       23.98
          RAINBOWPAP,        5.81,        2.25
          KANORICHEM,        5.79,        6.08
               SREEL,        5.79,       -4.46
            TINPLATE,        5.76,       16.68
              GVKPIL,        5.74,       11.21
                 BEL,        5.73,       16.84
            BHANDARI,        5.66,        5.66
          DCMSHRIRAM,        5.64,       13.18
          MAHSCOOTER,        5.61,       12.80
                IGPL,        5.57,        8.37
            MADHUCON,        5.57,       44.15
              HATSUN,        5.56,       14.37
              RECLTD,        5.56,       18.44
            PRESTIGE,        5.54,       28.85
           EDELWEISS,        5.51,       28.19
                 SFL,        5.49,       13.64
                 MIC,        5.47,        9.06
              ELECON,        5.45,       22.20
                MTNL,        5.44,       11.27
           GUJFLUORO,        5.43,       12.24
             THERMAX,        5.43,       14.79
          ZANDUREALT,        5.41,       12.97
          EUROTEXIND,        5.38,       22.32
              VIPIND,        5.38,       14.26
                 BIL,        5.34,        8.06
               REFEX,        5.34,      -10.78
                SGFL,        5.26,        8.11
            ZEELEARN,        5.26,       -3.71
                 ACE,        5.22,       26.52
          ADHUNIKIND,        5.22,        8.27
          INDIAGLYCO,        5.22,       11.13
                KSCL,        5.20,        2.13
          ADVENZYMES,        5.19,        4.73
           CHROMATIC,        5.17,        8.93
            SHREECEM,        5.17,       14.05
          JPASSOCIAT,        5.16,       -1.12
           NAHARPOLY,        5.14,        8.72
               CANBK,        5.13,       12.12
             HBSTOCK,        5.13,        9.17
            INDORAMA,        5.13,       21.98
           BALAMINES,        5.12,       11.84
                IFCI,        5.12,       -0.67
          CENTURYTEX,        5.09,       13.26
          KOKUYOCMLN,        5.09,       -2.60
          CENTURYPLY,        5.06,        7.51
          HARITASEAT,        5.05,        5.90
             PREMIER,        5.05,       19.54
          HIMATSEIDE,        5.04,        4.19
             EHFLNCD,        5.00,        5.90
            UNIENTER,        4.99,       10.43
          BHARATWIRE,        4.98,       13.70
             GULPOLY,        4.98,       19.52
          GLOBALVECT,        4.97,       -0.05
            SMLISUZU,        4.93,       10.72
          SALZERELEC,        4.92,       22.43
            EVEREADY,        4.91,       21.48
                 HIL,        4.91,       20.53
          SUNILHITEC,        4.91,       27.23
          GARDENSILK,        4.89,        8.09
              SAGCEM,        4.89,        6.05
          SHARDACROP,        4.88,       13.52
          DEEPAKFERT,        4.86,       10.99
          FAGBEARING,        4.86,       17.03
              PFOCUS,        4.85,       37.97
            RELINFRA,        4.85,        2.46
           SAKHTISUG,        4.84,        1.02
                JKIL,        4.82,       -0.54
               VMART,        4.80,       23.86
              AVTNPL,        4.78,       21.85
             BIGBLOC,        4.78,       28.86
           GITANJALI,        4.78,        5.41
                KRBL,        4.78,        8.10
           HCL-INSYS,        4.77,       11.46
            SUPPETRO,        4.77,       29.69
           NOIDATOLL,        4.76,        2.11
           MUKTAARTS,        4.75,        6.18
